Date,Département,Marque,Modele,Annee,Km,Cabine,Boîte vitesse,Carburant,Puissance réelle (ch),Prix (TTC),Carrosserie,Coffre,Réhausse,Date installation benne,Mention benne JPM,Garantie (mois),Lien,S1 vendu,S2 vendu,S4 vendu,Modification Prix,Prix initial
18/01/2020,49,Iveco,Daily,2016,100000,SC,Manuelle,Diesel,130,25080,Benne origine,Oui,Non,NA,JPM,6,https://www.leboncoin.fr/utilitaires/1913277250.htm,Non,Non,Non,,
18/01/2020,64,Iveco,Daily,2019,28000,SC,Manuelle,Diesel,150,32400,Benne origine,Oui,Non,NA,Cabreta,0,https://www.leboncoin.fr/utilitaires/1913261325.htm,Oui,Oui,Oui,,
18/01/2020,41,Fuso,Canter,2014,80000,SC,Manuelle,Diesel,130,20160,Benne origine,Non,Oui,NA,JPM,0,https://www.leboncoin.fr/utilitaires/1913259949.htm,Non,Non,Non,,
18/01/2020,80,Fiat,Ducato,2017,23400,SC,Manuelle,Diesel,130,21540,Benne origine,Non,Non,NA,NA,6,https://www.leboncoin.fr/utilitaires/1913258352.htm,Non,Non,Non,,
18/01/2020,94,Citroen,Jumper,2017,30000,SC,Manuelle,Diesel,130,18850,Benne origine,Non,Non,NA,NA,0,https://www.leboncoin.fr/utilitaires/1925009723.htm?ac=206978287,Non,Non,Non,,
19/01/2020,56,Mercedes,Sprinter,2016,90000,SC,Manuelle,Diesel,130,22900,Benne origine,Oui,Non,NA,NA,0,https://www.leboncoin.fr/utilitaires/1918869010.htm?ac=206978287,Non,Non,Non,,
19/01/2020,30,Renault,Master,2017,78246,SC,Manuelle,Diesel,130,21300,Benne origine,Non,Non,NA,NA,6,https://www.leboncoin.fr/utilitaires/1883448393.htm,Non,Non,Non,,
19/01/2020,91,Renault,Maxity,2014,36000,SC,Manuelle,Diesel,140,17999,Benne origine,Non,Non,NA,NA,0,https://www.leboncoin.fr/utilitaires/1913458530.htm,Non,Non,Oui,,
19/01/2020,10,Peugeot,Boxer,2014,87300,SC,Manuelle,Diesel,130,16800,Benne origine,Non,Non,NA,Gruau,0,https://www.leboncoin.fr/utilitaires/1913450805.htm,Non,Non,Oui,,
19/01/2020,13,Citroen,Jumper,2017,55800,SC,Manuelle,Diesel,130,14400,Benne origine,Non,Non,NA,NA,0,https://www.leboncoin.fr/utilitaires/1913445483.htm,Non,Non,Oui,,
19/01/2020,83,Mercedes,Sprinter,2018,90000,SC,Manuelle,Diesel,190,27000,Benne origine,Non,Non,NA,NA,0,https://www.leboncoin.fr/utilitaires/1915006343.htm?ac=206978287,Non,Non,Non,,
